random number,0,1,2,3,4,5,6,7,8,9
,POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
0.689682315,74,Isuru Udana,90.5,10,8,49,1,1,3,0
0.403561708,75,Shimron Hetmyer,87,12,0,0,11,12,7,0
0.271301328,76,Dinesh Karthik,86.5,14,0,0,20,4,9,0
0.247478467,77,Wriddhiman Saha,85,4,0,0,24,5,2,1
0.389038305,78,Lockie Ferguson,82.5,5,6,48,4,1,0,0
0.048712152,79,Glenn Maxwell,80,13,3,37,9,0,4,0
0.604913404,80,Sheldon Cottrell,80,6,6,59,0,0,0,0
0.593004556,81,Robin Uthappa,79.5,12,0,0,19,7,3,0
0.582854352,82,Shivam Dube,77,11,4,14,5,9,2,0
0.724071536,83,Kamlesh Nagarkoti,76,10,5,46,1,0,4,0
0.52220883,84,Vijay Shankar,76,7,4,31,10,1,1,0
0.691114868,85,Ruturaj Gaikwad,71,6,0,0,16,6,4,0
0.477692389,86,Lungi Ngidi,66.5,4,9,35,0,0,0,0
0.244492008,87,Abdul Samad,66,12,1,9,8,6,5,0
0.671400946,88,Tom Curran,61,5,3,25,5,3,1,0
0.517651754,89,Dwayne Bravo,58.5,6,6,35,0,0,1,0
0.727898882,90,Piyush Chawla,58,7,6,37,0,0,0,0
0.808929847,91,Shahbaz Nadeem,53.5,7,5,31,1,0,1,0
0.929137536,92,Prasidh Krishna,51.5,6,4,35,0,0,1,0
0.933285837,93,Jaydev Unadkat,51.5,7,4,35,0,0,1,0
0.00694017,94,Priyam Garg,51.5,14,0,0,9,4,6,0
0.752340555,95,Tushar Deshpande,50.5,5,3,29,2,1,1,0
0.256761359,96,Bhuvneshwar Kumar,50.5,4,3,40,0,0,0,0
0.854853524,97,Ajinkya Rahane,47,9,0,0,12,2,4,0
0.768910322,98,Abhishek Sharma,46,8,2,11,6,3,1,0
0.999177226,99,Karn Sharma,44.5,5,5,27,0,0,0,0
0.564699439,100,Ankit Rajpoot,44.5,6,2,34,0,1,0,0
0.128850078,101,Mandeep Singh,41.5,7,0,0,10,4,1,0
0.953306978,102,Harshal Patel,41,5,3,23,2,0,1,0
0.447923226,103,Deepak Hooda,39.5,7,0,2,5,5,3,0
0.471664259,104,Jimmy Neesham,39,5,2,26,0,1,1,0
0.169481277,105,Josh Hazlewood,34.5,3,1,31,0,0,0,0
0.184677733,106,Saurabh Tiwary,33,7,0,0,8,3,1,0
0.570215804,107,Gurkeerat Mann Singh,32.5,8,0,0,8,0,5,0
0.037942216,108,Riyan Parag,31,12,0,3,6,3,1,0
0.441020595,109,Amit Mishra,30,3,3,17,0,0,1,0
0.633134945,110,Daniel Sams,29.5,3,0,22,0,0,3,0
0.11881975,111,Adam Zampa,29.5,3,2,20,0,0,1,0
0.320559275,112,Krishnappa Gowtham,29,2,1,11,3,2,0,0
0.555614626,113,Imran Tahir,27.5,3,1,19,2,0,0,0
